"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "PostCSS", "TypeScript JSX", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\.eslintrc.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\package-lock.json", "JSON", 0, 0, 5369, 0, 0, 0, 0, 0, 0, 0, 1, 5370
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\package.json", "JSON", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\config\database.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 51
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\config\multer.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 51
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\config\prisma.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\constants\regex.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\admin.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 52
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\auth.ts", "TypeScript", 162, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35, 208
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\categories.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\customFields.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 82
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\eventManagerController.ts", "TypeScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 180
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\events.ts", "TypeScript", 285, 0, 0, 0, 0, 0, 0, 0, 0, 33, 42, 360
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\otp.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 120
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\qr.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 79
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\registrations.ts", "TypeScript", 286, 0, 0, 0, 0, 0, 0, 0, 0, 46, 41, 373
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\teams.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\upload.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 31
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\controllers\users.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 102
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\middleware\auth.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25, 164
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\middleware\errorHandler.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 119
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\middleware\notFound.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\middleware\rateLimiters.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\middleware\requestLogger.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\middleware\upload.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 38
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\middleware\validateRequest.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\admin.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 20
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\auth.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 27
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\categories.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\customFields.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 32
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\eventManagerRoutes.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 41
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\events.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 51
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\index.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\otp.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\qr.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 19
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\registrations.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 91
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\teams.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 30
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\upload.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 16
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\routes\users.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 24
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\schemas\auth.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\schemas\events.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\schemas\otp.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 18
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\schemas\registration.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\schemas\validation.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 86
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\server.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 0, 0, 0, 36, 20, 214
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\services\authService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\types\auth.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\types\database.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 27, 27, 201
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\types\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\utils\crypto.ts", "TypeScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 13, 40, 212
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\utils\logger.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 53
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\utils\otp.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\utils\sms.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\src\utils\validation.ts", "TypeScript", 221, 0, 0, 0, 0, 0, 0, 0, 0, 11, 39, 271
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-backend\tsconfig.json", "JSON with Comments", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\eslint.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\package-lock.json", "JSON", 0, 0, 9688, 0, 0, 0, 0, 0, 0, 0, 1, 9689
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\package.json", "JSON", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 13, 16, 115
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\admin\ApprovalQueue.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\admin\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
